.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,r-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,r-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,r-41,,,r-41,,r-41,,,r-41,,r-41,,,,r-41,r-41,r-41,,r-41,,,,,,,,,r-41,r-41,,,,r-41,,,r-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,r-39,,,r-39,,r-39,,,r-39,,r-39,,,,r-39,r-39,r-39,,r-39,,,,,,,,,r-39,r-39,,,,r-39,,,r-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,sh-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-52,,sh-148,,,,,,,,,,,sh-54,,,,,,,,,,,,
113,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-149,sh-87,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
114,,,sh-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-151,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
116,,,r-105,,,r-105,,,,r-105,r-105,,,r-105,r-105,r-105,r-105,,,r-105,r-105,,r-105,r-105,r-105,r-105,,r-105,r-105,,,r-105,r-105,,,,r-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-152,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
118,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-153,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
119,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-154,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
120,,,r-100,,,r-100,,,,r-100,r-100,,,r-100,r-100,r-100,r-100,,,r-100,r-100,sh-130,r-100,r-100,r-100,r-100,,r-100,r-100,,,r-100,r-100,,,,r-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,r-104,,,r-104,,,,r-104,r-104,,,r-104,r-104,r-104,r-104,,,r-104,r-104,,r-104,r-104,r-104,r-104,,r-104,r-104,,,r-104,r-104,,,,r-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,r-103,,,r-103,,,,r-103,r-103,,,r-103,r-103,r-103,r-103,,,r-103,r-103,,r-103,r-103,r-103,r-103,,r-103,r-103,,,r-103,r-103,,,,r-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-74,,,sh-156,sh-77,sh-78,sh-79
126,,r-88,,r-88,,,,r-88,,,,r-88,r-88,,,r-88,,r-88,r-88,,,r-88,,r-88,,,r-88,r-88,,,,,,,r-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,r-89,,r-89,,,,r-89,,,,r-89,r-89,,,r-89,,r-89,r-89,,,r-89,,r-89,,,r-89,r-89,,,,,,,r-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,r-87,,r-87,,,,r-87,,,,r-87,r-87,,,r-87,,r-87,r-87,,,r-87,,r-87,,,r-87,r-87,,,,,,,r-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-74,,,,sh-157,sh-78,sh-79
130,,sh-60,r-78,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,r-78,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-158,,,,,,,,,sh-83,sh-84,sh-85,sh-159,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
131,,r-81,,r-81,,,,r-81,,,,r-81,r-81,,,r-81,,r-81,r-81,,,r-81,,r-81,,,r-81,r-81,,,,,,,r-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,r-82,,r-82,,,,r-82,,,,r-82,r-82,,,r-82,,r-82,r-82,,,r-82,,r-82,,,r-82,r-82,,,,,,,r-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,r-83,,r-83,,,,r-83,,,,r-83,r-83,,,r-83,,r-83,r-83,,,r-83,,r-83,,,r-83,r-83,,,,,,,r-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,r-80,,r-80,,,,r-80,,,,r-80,r-80,,,r-80,,r-80,r-80,,,r-80,,r-80,,,r-80,r-80,,,,,,,r-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,r-79,,r-79,,,,r-79,,,,r-79,r-79,,,r-79,,r-79,r-79,,,r-79,,r-79,,,r-79,r-79,,,,,,,r-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-160,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
137,,,,,,,,,,sh-4,,,,,,sh-6,sh-7,,,sh-29,,,,,,,,,sh-9,,,,sh-161,,,,sh-11,,,,,,,sh-162,sh-163,sh-164,sh-165,sh-166,,sh-167,,,,,,sh-168,sh-169,,,,sh-170,,,,,,,,,,,,,,
138,,,sh-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,sh-4,,,,,,sh-6,sh-7,,,sh-29,,,,,,,,,sh-9,,,,sh-161,,,,sh-11,,,,,,,sh-162,sh-163,sh-164,sh-165,sh-166,,sh-167,,,,,,sh-172,sh-173,,,,sh-170,,,,,,,,,,,,,,
140,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-174,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
141,,,r-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,sh-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,r-48,,,r-48,,r-48,,,r-48,,r-48,,,,r-48,r-48,r-48,,r-48,,,,,,,,,r-48,r-48,,,,r-48,,,r-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,r-49,,,r-49,,r-49,,,r-49,,r-49,,,,r-49,r-49,r-49,,r-49,,,,,,,,,r-49,r-49,,,,r-49,,,r-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,r-43,,,r-43,,r-43,,,r-43,,r-43,,,,r-43,r-43,r-43,,r-43,,,,,,,,,r-43,r-43,,,,r-43,,,r-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,r-42,,,r-42,,r-42,,,r-42,,r-42,,,,r-42,r-42,r-42,,r-42,,,,,,,,,r-42,r-42,,,,r-42,,,r-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,sh-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-178,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,r-95,,,r-95,,,,r-95,r-95,,,r-95,r-95,r-95,r-95,,,r-95,r-95,,r-95,r-95,r-95,r-95,,r-95,r-95,,,r-95,r-95,,,,r-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,r-91,,,sh-126,,,,r-91,r-91,,,r-91,r-91,r-91,r-91,,,r-91,r-91,,r-91,r-91,sh-127,sh-128,,r-91,r-91,,,r-91,r-91,,,,r-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-129,,,,,
157,,,r-93,,,r-93,,,,r-93,r-93,,,r-93,r-93,r-93,r-93,,,r-93,r-93,,r-93,r-93,r-93,r-93,,r-93,r-93,,,r-93,r-93,,,,r-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,r-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,sh-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,r-84,,,,,,,r-84,,,,,,r-84,r-84,,,r-84,,,,,,,,,r-84,,,r-84,r-84,,,,r-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,r-58,,,r-58,,r-58,,,r-58,,r-58,,,,r-58,r-58,r-58,,r-58,,,,,,,,,r-58,r-58,,,,r-58,,,r-58,r-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,r-51,,,r-51,,r-51,,,r-51,,r-51,,,,r-51,r-51,r-51,,r-51,,,,,,,,,r-51,r-51,,,,r-51,,,r-51,r-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,r-52,,,r-52,,r-52,,,r-52,,r-52,,,,r-52,r-52,r-52,,r-52,,,,,,,,,r-52,r-52,,,,r-52,,,r-52,r-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,r-53,,,r-53,,r-53,,,r-53,,r-53,,,,r-53,r-53,r-53,,r-53,,,,,,,,,r-53,r-53,,,,r-53,,,r-53,r-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,r-68,,,r-68,,r-68,,,r-68,,r-68,,,,r-68,r-68,r-68,,r-68,,,,,,,,,r-68,r-68,,,,r-68,,,r-68,r-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,r-56,,,r-56,,r-56,,sh-188,r-56,,r-56,,,,r-56,r-56,r-56,,r-56,,,,,,,,,r-56,r-56,,,,r-56,,,r-56,r-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,r-57,,,r-57,,r-57,,,r-57,,r-57,,,,r-57,r-57,r-57,,r-57,,,,,,,,,r-57,r-57,,,,r-57,,,r-57,r-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-189,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
172,,r-70,,,r-70,,r-70,,,r-70,,r-70,,,,r-70,r-70,r-70,,r-70,,,,,,,,,r-70,r-70,,,,r-70,,,r-70,r-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,r-56,,,r-56,,r-56,,,r-56,,r-56,,,,r-56,r-56,r-56,,r-56,,,,,,,,,r-56,r-56,,,,r-56,,,r-56,r-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,sh-4,,,,,,sh-6,sh-7,,,sh-29,,,,,,,,,sh-9,,,,sh-161,,,,sh-11,,,,,,,sh-162,sh-163,sh-164,sh-165,sh-166,,sh-167,,,,,,sh-190,sh-173,,,,sh-170,,,,,,,,,,,,,,
175,,,sh-191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-33,,r-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,r-106,,,r-106,,,,r-106,r-106,,,r-106,r-106,r-106,r-106,,,r-106,r-106,,r-106,r-106,r-106,r-106,,r-106,r-106,,,r-106,r-106,,,,r-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,r-96,,,r-96,,,,r-96,r-96,,,r-96,r-96,r-96,r-96,,,r-96,r-96,,r-96,r-96,r-96,r-96,,r-96,r-96,,,r-96,r-96,,,,r-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,r-108,,,r-108,,,,r-108,r-108,,,r-108,r-108,r-108,r-108,,,r-108,r-108,,r-108,r-108,r-108,r-108,,r-108,r-108,,,r-108,r-108,,,,r-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,r-107,,,r-107,,,,r-107,r-107,,,r-107,r-107,r-107,r-107,,,r-107,r-107,,r-107,r-107,r-107,r-107,,r-107,r-107,,,r-107,r-107,,,,r-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-193,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
184,,,r-75,,,,,,,r-75,,,,,,r-75,r-75,,,r-75,,,,,,,,,r-75,,,r-75,r-75,,,,r-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,r-54,,,r-54,,r-54,,,r-54,,r-54,,,,r-54,r-54,r-54,,r-54,,,,,,,,,r-54,r-54,,,,r-54,,,r-54,r-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,r-55,,,r-55,,r-55,,,r-55,,r-55,,,,r-55,r-55,r-55,,r-55,,,,,,,,,r-55,r-55,,,,r-55,,,r-55,r-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,r-50,,,r-50,,r-50,,,r-50,,r-50,,,,r-50,r-50,r-50,,r-50,,,,,,,,,r-50,r-50,,,,r-50,,,r-50,r-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,sh-4,,,,,,sh-6,sh-7,,,sh-29,,,,,,,,,sh-9,,,,sh-161,,,,sh-11,,,,,,,sh-162,sh-163,sh-164,sh-165,sh-166,,sh-167,,,,,,sh-194,sh-173,,,,sh-170,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,r-37,,,r-37,,r-37,,,r-37,,r-37,,,,r-37,r-37,r-37,,,,,,,,,,,r-37,,,,,r-37,,,r-37,r-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,sh-1,,,,,,,,,,sh-5,,,,,,sh-8,,,,,,,,,,,,,,r-36,,,,,,,,,,,,,,,,,,,,,sh-142,sh-195,,,,,,,,,,,,,,,,,,,,,
192,,r-71,,,r-71,,r-71,,,r-71,,r-71,,,,r-71,r-71,r-71,,r-71,,,,,,,,,r-71,r-71,,,,r-71,,,r-71,r-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,r-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,r-69,,,r-69,,r-69,,,r-69,,r-69,,,,r-69,r-69,r-69,,r-69,,,,,,,,,r-69,r-69,,,,r-69,,,r-69,r-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
