.,$,sc,bool,int,float,const,string,id,lparen,rparen,comma,returns,assign,lbrace,rbrace,if,else,while,do,lt,leq,eq,geq,gt,plus,minus,mult,div,mod,domain,intval,floatval,stringval,not,compl,emit,symtable,rand,MODULE,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNTYPE,OTHERTYPE,FUNSIG,PARAMLIST,FUNCTION,BRACESTMTS,BSTMTS,BSTMT,SOLOSTMT,STEPS,DECLTYPE,DECLID,DECLIDS,DECLLIST,ASSIGN,IF,IFELSE,WHILE,DOWHILE,EXPR,FUNCALL,ARGLIST,BOOLS,BEXPR,PLUS,TIMES,AEXPR,SUM,PRODUCT,VALUE,UNARY,CAST,EMIT,RAND
75,,r-66,,,,,,,,,r-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r-65,,,,,,,,,r-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r-73,,,,,,r-73,,r-73,r-73,,,r-73,,r-73,,r-73,,,,,,,,,,,,,,,,,,r-73,,r-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r-71,,,,,,r-71,,r-71,r-71,,,r-71,,r-71,,r-71,,,,,,,,,,,,,,,,,,r-71,,r-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,,,,sh-124,sh-84,sh-85,,
80,,r-72,,,,,,r-72,,r-72,r-72,,,r-72,,r-72,,r-72,,sh-126,sh-127,sh-128,sh-129,sh-130,,,,,,,,,,,,r-72,,r-72,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-131,,,,,,,,,,,
81,,r-89,,,,,,r-89,,r-89,r-89,,,r-89,,r-89,,r-89,,r-89,r-89,r-89,r-89,r-89,sh-67,sh-68,,,,,,,,,,r-89,,r-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-133,,,,,,,,,
82,,r-91,,,,,,r-91,,r-91,r-91,,,r-91,,r-91,,r-91,,r-91,r-91,r-91,r-91,r-91,r-91,r-91,sh-135,sh-136,sh-137,,,,,,,r-91,,r-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-138,,,,,,,,
83,,r-93,,,,,,r-93,,r-93,r-93,,,r-93,,r-93,,r-93,,r-93,r-93,r-93,r-93,r-93,r-93,r-93,r-93,r-93,r-93,,,,,,,r-93,,r-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,r-100,,,,,,r-100,,r-100,r-100,,,r-100,,r-100,,r-100,,r-100,r-100,r-100,r-100,r-100,r-100,r-100,r-100,r-100,r-100,,,,,,,r-100,,r-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,r-101,,,,,,r-101,,r-101,r-101,,,r-101,,r-101,,r-101,,r-101,r-101,r-101,r-101,r-101,r-101,r-101,r-101,r-101,r-101,,,,,,,r-101,,r-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,r-99,,,,,,r-99,,r-99,r-99,,,r-99,,r-99,,r-99,,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,,,,,,,r-99,,r-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,sh-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,sh-126,sh-127,sh-128,sh-129,sh-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-131,,,,,,,,,,,
89,,,,,,,,,,sh-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,r-39,r-39,r-39,r-39,r-39,r-39,,,,,,r-39,r-39,r-39,,r-39,r-39,,,,,,,,,,,,,,,,,r-39,,r-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,sh-1,sh-2,sh-3,sh-4,sh-5,sh-6,,,,,,sh-32,sh-141,sh-7,,sh-8,sh-9,,,,,,,,,,,,,,,,,sh-10,,sh-11,,,,,sh-142,sh-143,,,,sh-144,,sh-145,,,sh-146,,,sh-147,sh-148,sh-149,sh-150,sh-151,sh-152,,,,,,,,,,,,,,sh-153,sh-154
92,,,,,,,,,sh-155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
